amplitude_0	mean_0	stddev_0	amplitude_1	mean_1	stddev_1	amplitude_2	mean_2	stddev_2	amplitude_3	mean_3	stddev_3	amplitude_4
142.69112050229464	7.4095028269682075	4.0	807.1168077605029	18.150973682329763	4.0	322.5786438258668	27.290691463969015	4.0	146.26685347201783	35.0	7.0	18.65968435174399
173.88882260690764	8.052803455910244	4.0	577.5209322936389	18.879069170165597	4.0	424.3279967223884	27.2992145115548	4.0	194.01466460984392	35.0	7.0	17.449726987071216
255.55776771954285	8.429315114766512	4.0	511.6660004016106	20.272683726522782	4.0	634.5435742091219	27.29391477399673	4.0	159.26019731408866	35.0	7.0	18.209446767603808
232.53950625047108	7.40544264215976	4.0	333.66015877989395	19.496280486491525	4.0	512.775953798644	27.652754500595854	4.0	148.59429021775784	35.0	7.0	16.82789705872938
155.569946670355	6.648736237172991	4.0	326.7555477196993	18.756736889666705	4.0	482.78434591463684	27.166670990719194	4.0	131.62462637834352	35.0	7.0	15.969030728383986
113.89190303620677	4.609170254186946	4.0	173.57586211449845	16.00408961687698	4.0	524.1473082281012	24.731543610737916	4.0	136.87245251715606	35.0	7.0	15.9800373131314
119.11539951577439	5.861889019374914	4.0	346.4561790002779	20.322664218154745	4.0	378.81399603857597	26.33170315384981	4.0	146.66399008937628	35.0	7.0	17.04076784743812
105.48897977847099	6.38813688537064	4.0	282.1074984778689	18.82748438643843	4.0	522.8223696783307	26.00815343667709	4.0	149.2856966437196	35.0	7.0	15.962993781087482
97.49654168777722	6.823514446922586	4.0	349.5903886486842	19.514283305945646	4.0	458.3421918790488	26.16601009808474	4.0	145.92184570939725	35.0	7.0	15.550755477327108
85.35132298050532	7.251407183233567	4.0	285.2511397421413	20.089321467058816	4.0	286.14410379285437	28.167840221272154	4.0	146.58272248502848	35.0	7.0	14.893641803122378
97.61497083610406	9.96603512974329	4.0	386.38495352277084	21.988490294470708	4.0	334.74017441043395	30.324220925348083	4.0	216.515809270541	35.0	7.0	17.3982117980838
98.50090814178782	9.72673662524883	4.0	350.92916806248735	22.120262294417355	4.0	403.67099189511174	30.606726939545318	4.0	154.77148157339317	35.0	7.0	17.016890724106982
85.0917150953176	7.170018178191071	4.0	311.12224878368255	21.664318430866068	4.0	399.5672745446923	30.612106968167478	4.0	120.88129623987062	35.0	7.0	16.374752758374175
83.69886010114577	6.700878920179717	4.0	252.22081031850553	21.29273715440797	4.0	451.87849135344976	30.500250363283556	4.0	117.3659810867851	35.0	7.0	14.86337988564195
94.81295684967785	7.058701493890196	4.0	174.29436996182665	21.69548367540934	4.0	445.25295114283955	30.505355583636053	4.0	64.85721083750528	36.12296483014695	7.0	13.798858090933637
84.78849792012166	7.9109797899266665	4.0	142.25731945238869	22.074095724514073	4.0	356.5036944103412	30.67155066396513	4.0	78.18202173702231	35.0	7.0	12.739568806549215
76.28271565224163	9.04293687112534	4.0	186.90956154916407	22.74830116606756	4.0	241.46809703890577	29.782492353660945	4.0	85.42777834963628	35.0	7.0	12.366344156624528
71.58238000403321	9.516962782459233	4.0	197.4382433093336	20.882872834088705	4.0	297.1020569316601	27.94804354651398	4.0	69.65870687978186	35.0	7.0	12.79301824695489
68.91900769454865	9.524826414951304	4.0	222.91858688957518	19.975468656363766	4.0	294.38046118387325	26.984681339143854	4.0	74.10643045938427	35.0	7.0	13.009834226334565
64.50707129798144	10.345599383137305	4.0	280.8648540764687	20.29048646627805	4.0	326.0662556878448	27.975304582118337	4.0	80.68208541631955	35.0	7.0	14.048880489431241
102.32848871766643	11.44113652500293	4.0	484.16404857629993	20.378169755432992	4.0	208.56963037098078	27.61439367864154	4.0	113.27883395913292	35.0	7.0	17.712244537722533
87.15586443808611	9.281552855939237	4.0	393.2296103681869	19.842210868079995	4.0	274.3034504790724	26.88041549866571	4.0	124.08261157102007	35.0	7.0	16.351817479331963
77.19436898949195	9.254594941646678	4.0	305.6900162611422	20.02621897064349	4.0	403.8842647340835	27.008625873426492	4.0	116.46393983391923	35.0	7.0	14.98423257981174
85.4312063319356	10.176049318885765	4.0	597.511978657489	21.347502864925747	4.0	270.4462870473804	28.1574470723691	4.0	103.91545523629486	35.0	7.0	14.821445167075545
83.34595063108061	12.0	4.0	317.0413795445602	21.938702531566122	4.0	372.08436818499445	28.332532699092617	4.0	89.86557771480544	35.0	7.0	15.170379309294676
85.69809200727903	12.0	4.0	276.5342016821752	22.58573848633489	4.0	527.0603844244309	29.739165598325176	4.0	154.17723660496972	35.0	7.0	13.087482151485133
88.80898506242933	12.0	4.0	343.22941323148297	22.329534105594046	4.0	319.674245978902	30.353938749976628	4.0	202.22437830076524	35.0	7.0	13.579135562358188
160.46677252051515	12.0	4.0	355.8263922097051	20.030400728721673	4.0	248.6362367603011	27.65504130334701	4.0	126.92625511634768	35.0	7.0	13.868674511475717
120.48909229076	12.0	4.0	409.7152683629029	19.422108366942226	4.0	219.4485486096262	26.76109403078798	4.0	98.75716302942291	35.0	7.0	14.29442631340559
96.54739344759709	12.0	4.0	500.73172358475074	19.255242917550415	4.0	269.5316749249806	26.733296905535173	4.0	92.67249359129269	35.0	7.0	13.897643439264417
62.24707418578794	12.0	4.0	446.24686947047985	20.5388981591475	4.0	273.2226250918756	27.12133475341295	4.0	76.70138283597095	35.0	7.0	13.120560022456766
54.40547725487837	12.0	4.0	212.78826962389405	21.023755774999465	4.0	375.10782888831363	27.261769888300428	4.0	75.0038462645892	35.0	7.0	12.50309859619663
76.5067650613133	12.0	4.0	355.08430232839953	22.065394935396704	4.0	329.7826065530328	28.728602517698626	4.0	81.92066214113333	35.0	7.0	12.88237830197049
83.1397192611312	12.0	4.0	306.67501594939785	22.02842872133146	4.0	227.08005174253526	27.66318199194656	4.0	75.22002291713827	35.0	7.0	12.738201485631087
94.76262034006469	12.0	4.0	169.0212676458492	19.746866707661464	4.0	706.1539832372946	26.138544381188478	4.0	93.6678216630165	35.0	7.0	14.461830181474502
122.61163891698635	12.0	4.0	270.6778802286408	21.55010768509423	4.0	813.6947337420712	27.326368479869803	4.0	113.77107658278348	35.0	7.0	17.35563151377455
